date,plot,species,sex,weight
2013-07-16,2,DM,F,NA
2013-07-16,7,DM,M,33
2013-07-16,3,DM,M,NA
2013-07-16,1,DM,M,NA
2013-07-18,3,DM,M,40
2013-07-18,7,DM,M,48
2013-07-18,4,DM,F,29
2013-07-18,6,DM,F,37
2013-08-19,8,DO,F,52
2013-10-17,3,DO,F,33
2013-10-17,3,DO,F,50
2013-12-10,9,DO,F,40
2013-12-10,1,DO,M,45
2013-12-11,8,DO,F,41
2013-11-12,9,DS,F,117
2013-11-13,11,DS,F,126
2013-11-13,17,DS,M,NA
2013-11-13,14,DS,F,NA
2013-11-13,11,DS,F,122
2013-11-13,4,DS,F,107
2013-11-13,4,DS,F,115
2014-01-09,1,DM,M,40
2014-01-09,1,DM,F,36
2014-03-13,1,DM,F,51
2014-03-13,1,DM,F,44
2014-03-13,1,DS,F,146
2014-01-08,2,NA,NA,NA
2014-01-08,2,DM,M,44
2014-01-08,2,PF,F,7
2014-01-08,2,DM,M,45
2014-01-08,2,OT,NA,NA
2014-01-08,2,DS,M,NA
2014-01-08,2,OX,NA,NA
2014-02-18,2,NA,M,NA
2014-02-18,2,PF,F,7
2014-02-18,2,DM,M,52
2014-03-11,3,PF,M,8
2014-04-08,3,NA,F,NA
2014-05-06,3,NA,NA,NA
2014-05-18,3,NA,F,182
2014-06-09,3,OT,F,29
2014-07-08,3,NA,F,115
2014-07-08,3,NA,M,190
1978-01-08,4,DM,F,37
1978-01-08,4,DM,M,NA
1978-01-08,4,DM,F,48
1978-01-08,4,DO,M,52
1978-01-08,4,OL,M,35
